[1/17] d1_step                  R2=0.9930 [PASS]  (2.8s)
[2/17] d2_mod3                  R2=0.7581 [FAIL]  (9.0s)
[3/17] d3_two_sines             R2=0.5537 [FAIL]  (3.7s)
[4/17] d4_irrelevant12          R2=0.9992 [PASS]  (24.6s)
[5/17] d5_extrap_cliff          R2=0.9999 [PASS]  (1.2s)
[6/17] d6_seq_parity            R2=1.0000 [PASS]  (3.6s)
[7/17] d7_multiout              R2=0.9994 [PASS]  (5.0s)
[8/17] d8_compose_absprod       R2=0.9996 [PASS]  (10.2s)
[9/17] d9_noise                 R2=0.8060 [NF]  (30.7s)
[10/17] t21_three_region         R2=0.9936 [PASS]  (8.0s)
[11/17] t22_windowed_sine        R2=0.9644 [FAIL]  (1.8s)
[12/17] t23_quadratic            R2=0.9978 [PASS]  (4.3s)
[13/17] t24_quadrant_xor         R2=0.9956 [PASS]  (4.9s)
[14/17] t31_three_way_product    R2=0.9949 [PASS]  (7.0s)
[15/17] t32_sine_of_product      R2=0.9987 [PASS]  (2.2s)
[16/17] t33_absolute_value       R2=0.9984 [PASS]  (1.4s)
[17/17] t34_xor3_parity          R2=0.9974 [PASS]  (4.8s)

=== Standard: solved (min-out R2>0.99, d9 excluded as NF): 13/16 + d9(NF) ===
