[1/17] d1_step                  R2=0.9977 [PASS]  (4.2s)
[2/17] d2_mod3                  R2=0.1496 [FAIL]  (6.4s)
[3/17] d3_two_sines             R2=0.1646 [FAIL]  (6.6s)
[4/17] d4_irrelevant12          R2=0.9997 [PASS]  (31.8s)
[5/17] d5_extrap_cliff          R2=0.9999 [PASS]  (1.0s)
[6/17] d6_seq_parity            R2=1.0000 [PASS]  (2.2s)
[7/17] d7_multiout              R2=-0.0001 [FAIL]  (2.6s)
[8/17] d8_compose_absprod       R2=0.9991 [PASS]  (11.8s)
[9/17] d9_noise                 R2=0.7724 [NF]  (6.8s)
[10/17] t21_three_region         R2=0.9898 [FAIL]  (13.7s)
[11/17] t22_windowed_sine        FAIL [FAIL]  (0.0s)
[12/17] t23_quadratic            R2=0.9951 [PASS]  (3.0s)
[13/17] t24_quadrant_xor         R2=0.9901 [PASS]  (2.0s)
[14/17] t31_three_way_product    R2=0.9999 [PASS]  (4.3s)
[15/17] t32_sine_of_product      R2=0.9986 [PASS]  (2.2s)
[16/17] t33_absolute_value       R2=0.9981 [PASS]  (2.0s)
[17/17] t34_xor3_parity          R2=0.9967 [PASS]  (3.2s)

=== Standard: solved (min-out R2>0.99, d9 excluded as NF): 11/16 + d9(NF) ===
