task,min_r2,r2_per_out,commits,wall_s
d1_step,0.993616,o1=0.9936,NEURON_TANH_INJECTIONx2,4.3
d2_mod3,0.743716,o1=0.7437,"MULTI_LAYER_STACKx1,SIN_INJECTIONx1",6.0
d3_two_sines,0.553664,o1=0.5537,MULTI_LAYER_STACKx2,2.5
d4_irrelevant12,0.999244,o1=0.9992,MULTI_LAYER_STACKx2,18.8
d5_extrap_cliff,0.999743,o1=0.9997,"MULTIPLY_INJECTIONx2,CONTEXT_WIREx2,IFELSE_PRESERVEx1",1.4
d6_seq_parity,1.000000,o1=1.0000,"RECURRENT_XORx1,CONTEXT_WIREx3",2.5
d7_multiout,0.999396,o1=1.0000 o2=0.9994 o3=1.0000,COMPOUND_TANH_SERIESx6,4.0
d8_compose_absprod,0.999914,o1=0.9999,"COMPOUND_MULTIPLY_ABSx3,MULTIPLY_INJECTIONx3,MULTI_LAYER_STACKx1",6.3
d9_noise,0.808793,o1=0.8088,"COMPOUND_MULTIPLY_ABSx5,MULTIPLY_INJECTIONx4,NEURON_TANH_INJECTIONx1,MUX_INJECTIONx1",26.3
t21_three_region,0.993682,o1=0.9937,"CONTEXT_WIREx1,MULTI_LAYER_STACKx2",2.6
t22_windowed_sine,0.966336,o1=0.9663,"COMPOUND_TANH_SERIESx1,IFELSE_BOUNDARY_SPLITx1",1.5
t23_quadratic,0.997837,o1=0.9978,MULTI_LAYER_STACKx2,4.0
t24_quadrant_xor,0.995615,o1=0.9956,MULTI_LAYER_STACKx2,4.2
t31_three_way_product,0.994887,o1=0.9949,"MULTI_LAYER_STACKx1,COMPOUND_MULTIPLY3_NEURONx1",3.6
t32_sine_of_product,0.998731,o1=0.9987,"COMPOUND_SIN_PRODUCTx1,COMPOUND_MULTIPLY_NEURONx1",1.5
t33_absolute_value,0.998408,o1=0.9984,COMPOUND_MULTIPLY_NEURONx2,1.0
t34_xor3_parity,0.997394,o1=0.9974,"MULTI_LAYER_STACKx2,SIN_INJECTIONx1",3.3
