eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999971,0.000683116,19.5,15.973*tanh(-0.182*tanh(0.483*x0+0.483*x1-0.726)-0.405*tanh(-0.452*x0-0.101*x1+1.424)-0.199*tanh(0.002*tanh(0.004*x0+0.0
I.6.2b,2,0.999901,3.42674e-05,17.6,2.835*tanh(0.381*tanh(0.232*x0-0.790*x1+0.109)+0.997*tanh(0.413*x0-2.005*x1-0.405)+0.286*tanh(0.275*x0-0.381*x1-0.057)-0
I.7.9,2,0.999952,1.02127e-05,48.9,1.589*(tanh(0.312*tanh(-0.115*tanh(-0.649*x0-0.009*x1+0.079)-0.129*tanh(-0.223*x0+0.487*x1-0.112)-0.104*tanh(-0.324*x0+0
I.8.4,2,0.999967,0.00380524,118.8,38.572*tanh(0.810*tanh(-0.155*x0+0.516*x1+0.419)+0.230*tanh(0.939*x0+0.029*x1-0.566)-2.302*tanh(-0.119*x0-0.393*x1-0.033
I.9.5,3,0.999960,0.000162404,15.4,6.772*((tanh(0.507*x0+0.524*x1-3.942*x2-1.035)+tanh(0.103*(((x1*x0)+tanh(-0.186*((x1*x0)/((x2*x2)+tanh(-0.119*((x2*x0)/(
I.10.7,2,0.999264,0.00215408,7.7,8.456*tanh(-0.929*tanh(-0.865*x0-0.329*x1+0.425)+2.926*tanh(0.026*x0+1.489*x1-1.572)+0.657*tanh(0.250*x0-0.107*x1-0.494)
I.12.5,3,0.999782,0.00147681,28.3,11.904*tanh(0.327*tanh(0.283*tanh(-0.066*x0-0.621*x1+0.081*x2+0.441)+0.072*tanh(-0.215*x0-0.101*x1+0.860*x2+0.212)+0.006
I.13.12,2,0.999967,0.154848,546.5,170.129*tanh(-0.000*tanh(-0.001*tanh(0.0010)-0.000*tanh(-0.0000)+0.000*tanh(0.0000)-0.032*tanh(0.0260)-0.000*tanh(-0.000
I.14.3,4,0.999528,0.000209967,65.2,3.959*tanh(-0.262*tanh(-0.437*tanh(0.062*x0+0.031*x1-0.080*x2+0.219*x3-0.849)-0.003*tanh(-0.440*x0+0.197*x1+0.063*x2-0.2
I.15.3,2,0.999750,3.26291e-05,13.0,1.126*tanh(-1.183*tanh(0.339*tanh(0.056*x0+0.258*x1-0.266)-0.137*tanh(-0.027*x0-0.123*x1+0.119)+0.575*tanh(0.085*x0+0.41
I.15.10,2,0.999803,4.11005e-06,15.7,0.816*(((tanh(-0.784*tanh(-0.676*x0-0.594*x1+0.055*(x1*x0)+0.289)+0.031*tanh(0.044*x0+0.009*x1+0.004*(x1*x0)-0.036)-0.10
I.18.4,3,0.999961,0.000180999,63.0,11.231*tanh(0.276*tanh(-0.099*tanh(-0.225*tanh(0.412*x0-0.237*x1+0.112*x2+0.416)+0.324*tanh(0.039*x0-0.005*x1+1.073*x2-0
I.18.14,3,0.999924,0.0272335,100.0,65.250*tanh(0.279*tanh(0.460*x0-0.181*x1-0.192*x2+0.958)-0.453*tanh(-0.303*x0-0.277*x1-0.275*x2+2.807)+0.511*tanh(0.344*
I.24.6,2,0.999692,0.000402942,76.3,4.505*tanh(1.134*tanh(0.508*tanh(0.107*x0+1.170*x1-0.282)-0.328*tanh(-0.112*x0-0.867*x1+0.221)+0.274*tanh(0.114*x0+0.776
I.25.9,2,0.999953,8.39971e-06,67.3,1.641*tanh(-0.355*tanh(0.235*tanh(-0.409*x0+0.217*x1-0.042)-0.102*tanh(-0.150*x0-0.146*x1-0.019)-0.122*tanh(-0.154*x0-0.
I.29.16,3,0.903159,0.199622,540.0,4.283*(tanh(-1.942*tanh(-0.000*tanh(0.010*tanh(-0.124*x0+1.301*x1+1.002*x2-1.277)-0.001*tanh(0.680*x0-0.061*x1-0.093*x2-
I.32.8,3,0.975428,0.371383,10.3,45.331*(tanh(1.110*x0+1.091*x1-4.645*x2-2.365)+tanh(0.028*((((x1*x0)+tanh(-0.024*((((x1*x0)+tanh(1.938*(((x1*x0)*(x1*x0)
I.34.6,1,0.999197,4.21336e-05,2.3,0.443*(((tanh(-0.279*x0+0.258)+tanh(tanh(-0.213*x0+0.136)))+((((((tanh(tanh(-0.213*x0+0.136))+tanh(tanh(-0.096*x0+0.014)
