task,model,test_r2,wall_s
feynman/I.6.2,"MLP(64,64)",0.997647,3.8
feynman/I.6.2b,"MLP(64,64)",0.996963,0.7
feynman/I.7.9,"MLP(64,64)",0.998441,0.8
feynman/I.8.4,"MLP(64,64)",0.995237,0.4
feynman/I.9.5,"MLP(64,64)",0.997863,1.9
feynman/I.10.7,"MLP(64,64)",0.995369,0.7
feynman/I.12.5,"MLP(64,64)",0.998634,1.2
feynman/I.13.12,"MLP(64,64)",0.996488,1.3
feynman/I.14.3,"MLP(64,64)",0.994565,1.1
feynman/I.15.3,"MLP(64,64)",0.999237,0.2
feynman/I.15.10,"MLP(64,64)",0.997427,0.6
feynman/I.18.4,"MLP(64,64)",0.994899,1.0
feynman/I.18.14,"MLP(64,64)",0.996273,0.9
feynman/I.24.6,"MLP(64,64)",0.998059,0.6
feynman/I.25.9,"MLP(64,64)",0.998116,0.5
feynman/I.29.16,"MLP(64,64)",0.986263,1.6
feynman/I.32.8,"MLP(64,64)",0.941267,1.9
feynman/I.34.6,"MLP(64,64)",0.999490,0.2
feynman/I.43.27,"MLP(64,64)",0.988050,1.8
feynman/I.47.23,"MLP(64,64)",0.997027,0.6
feynman/II.11.27,"MLP(64,64)",0.997888,0.9
feynman/II.34.29a,"MLP(64,64)",0.996907,0.9
feynman/III.4.33,"MLP(64,64)",0.999408,1.0
feynman/III.10.19,"MLP(64,64)",0.998594,0.6
feynman/I.48.20,"MLP(64,64)",0.997315,0.8
korns/F1,"MLP(64,64)",0.991623,0.9
korns/F2,"MLP(64,64)",0.994890,0.5
korns/F3,"MLP(64,64)",0.979529,0.6
korns/F4,"MLP(64,64)",0.742762,0.2
korns/F5,"MLP(64,64)",0.974655,0.3
korns/F6,"MLP(64,64)",0.982656,0.3
korns/F7,"MLP(64,64)",0.969026,1.3
korns/F8,"MLP(64,64)",0.767948,0.5
korns/F9,"MLP(64,64)",0.928032,0.9
