eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999642,0.00846914,459.2,21.755*tanh(-0.125*tanh(0.095*x0+0.309*x1+0.079)-0.111*(tanh(0.092*x0+0.305*x1-0.220)+tanh(tanh(-0.022*(x0*x1)+0.008)))-
I.6.2b,2,0.999911,2.93044e-05,507.3,2.924*tanh(-0.482*tanh(-0.728*x0+0.025*x1+0.045)-0.204*tanh(-0.210*x0+0.279*x1+0.105)+0.177*tanh(0.201*x0-0.257*x1-0.045
I.7.9,2,0.999954,8.2471e-06,341.1,1.374*(tanh(0.222*tanh(0.134*x0-0.329*x1+0.026)-0.312*tanh(-0.641*x0-0.041*x1+0.105)-0.305*tanh(-0.069*x0+0.472*x1+0.065
I.8.4,2,0.999880,0.0213119,235.5,39.311*tanh(0.661*tanh(-0.124*x0+0.530*x1+0.075)+0.122*tanh(1.590*x0-0.120*x1-0.544)-2.373*tanh(-0.153*x0-0.335*x1+2.868
I.9.5,3,0.999507,0.00202204,285.5,7.774*(tanh(0.463*x0+0.521*x1-3.163*x2-1.101)+tanh(0.139*(((x1*x0)+tanh(-0.189*((x1*x0)/(x2*x2))+0.324))/(x2*x2))-0.392)
I.10.7,2,0.999524,0.000910754,364.8,8.086*tanh(-0.636*tanh(0.082*x0+3.779*x1-2.983)-2.792*tanh(-0.042*x0-1.766*x1+1.921)-0.284*tanh(-0.779*x0-0.289*x1+0.910
I.12.5,3,0.999943,0.000520529,1518.2,12.229*tanh(0.609*tanh(-0.192*x0-0.196*x1+0.559*x2+1.297)+0.329*tanh(0.003*x0-0.004*x1+1.001*x2-0.481)-0.177*tanh(0.002*
I.13.12,2,0.999395,1.9254,308.3,150.873*tanh(0.000*tanh(-0.005*tanh(0.087*x0-0.102*x1-0.003)-0.002*tanh(0.006*x0-0.005*x1-0.011)-0.004*tanh(0.062*x0-0.0
I.14.3,4,0.999227,0.000469069,545.2,4.060*(tanh(-0.645*tanh(-0.168*x0-0.205*x1+0.110*x2+0.086*x3+0.892)-0.162*tanh(0.288*x0-0.318*x1-0.073*x2+0.033*x3+0.249
I.15.3,2,0.999322,8.92815e-05,237.6,1.124*tanh(-1.557*tanh(0.367*x0+2.197*x1-2.734)-0.001*tanh(0.001*x0-0.000*x1+0.001)+1.527*tanh(2.201*x0+0.327*x1-2.692)+
I.15.10,2,0.999885,2.72689e-06,452.9,1.031*(tanh(-0.596*tanh(-0.652*x0-0.566*x1-0.198*(x1*x0)+0.118)-0.031*tanh(-0.065*x0-0.055*x1+0.041*(x1*x0)+0.051)+0.123
I.18.4,3,0.999963,0.000280423,374.8,9.816*(tanh(-0.619*tanh(-0.087*x0-0.098*x1+1.119*x2-0.013)-0.702*tanh(-0.432*x0-0.513*x1+0.464*x2+1.752)-0.532*tanh(0.20
I.18.14,3,0.999390,0.150131,350.9,61.279*tanh(0.244*tanh(0.546*x0-0.208*x1-0.217*x2+0.850)-0.455*tanh(-0.271*x0-0.285*x1-0.289*x2+2.242)+0.292*tanh(0.235*
I.24.6,2,0.999587,0.000510289,224.8,5.386*tanh(0.553*tanh(0.283*tanh(0.009*x0-1.328*x1+1.051)+0.368*tanh(0.109*x0+2.108*x1-1.548)+0.229*tanh(0.032*x0-0.866*
I.25.9,2,0.999930,1.07152e-05,313.8,1.788*tanh(-0.259*tanh(-0.271*x0+0.088*x1+0.567)-0.297*tanh(0.105*x0-0.858*x1+0.150)+0.238*tanh(-0.026*x0-0.226*x1-0.164
I.29.16,3,0.903358,0.199496,413.3,4.238*(tanh(-2.561*tanh(-0.186*tanh(0.115*tanh(-0.272*x0+1.498*x1+1.098*x2-1.203)+0.160*tanh(0.119*x0+0.213*x1+0.319*x2-
I.32.8,3,0.967434,0.280834,285.6,45.258*(tanh(1.031*x0+0.985*x1-4.053*x2-2.347)+tanh(0.028*((((x1*x0)+tanh(-0.029*(((x1*x0)*(x1*x0))/x2)-0.091))*((x1*x0)
I.34.6,1,0.999150,4.47995e-05,257.4,0.913*(((tanh(-0.302*x0+0.253)+tanh(tanh(-0.200*x0+0.080)))+tanh(tanh(-0.200*x0+0.080)))+tanh(tanh(-0.200*x0+0.080)))+0.
I.43.27,3,0.998907,4.34675e-05,1994.0,2.124*tanh(-0.242*tanh(0.025*x0+0.185*x1+0.132*x2-0.354)-0.762*tanh(-0.155*x0+1.323*x1+0.091*x2-0.569)+0.606*tanh(0.670*
I.47.23,2,0.999979,1.72976e-06,1148.5,0.838*(((tanh(0.028*tanh(0.004*tanh(-0.157*x0+0.423*x1-0.043)+0.009*tanh(0.084*x0-0.098*x1+0.017)-0.026*tanh(-0.568*x0-0
II.11.27,3,0.999581,0.00757648,1684.4,19.724*tanh(-0.438*tanh(-0.571*tanh(-0.493*x0-0.255*x1+1.106*x2-0.179)-0.003*tanh(0.005*x0+0.002*x1+0.011*x2+0.003)+0.00
