eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999608,0.0105393,1381.6,21.323*tanh(-0.188*tanh(0.106*x0+0.156*x1+0.121)-1.771*(tanh(-0.131*tanh(-0.183*x0+0.278*x1+0.069)+0.027*(tanh(-0.009*x0
I.6.2b,2,0.999910,2.9895e-05,493.0,2.921*tanh(-0.190*tanh(-0.218*x0+0.313*x1+0.098)+0.178*tanh(0.188*x0-0.486*x1-0.079)-0.760*tanh(-0.399*x0+2.039*x1+0.272
I.7.9,2,0.999938,1.0139e-05,1146.0,1.866*tanh(0.260*tanh(0.110*x0-0.320*x1+0.001)-0.314*tanh(-0.811*x0+0.054*x1+0.059)-0.280*tanh(-0.162*x0+0.967*x1+0.218)
I.8.4,2,0.999925,0.0163265,256.7,40.423*tanh(0.376*tanh(0.345*x0+0.378*x1-1.629)-2.236*tanh(-0.000*tanh(0.000*x0+0.006*x1-0.026)-0.001*tanh(-0.042*x0+0.0
I.9.5,3,0.999791,0.000895403,225.8,9.476*tanh(-1.170*tanh(-0.340*x0-0.390*x1+2.887*x2+0.636)-0.702*tanh(-0.122*x0-0.113*x1+1.021*x2-0.038)-0.522*tanh(0.054
I.10.7,2,0.999479,0.000877982,896.4,7.695*tanh(-0.674*tanh(-0.201*x0-0.550*x1+1.769)-0.400*tanh(-0.588*x0-0.574*x1+0.455)+0.846*tanh(1.315*x0+0.329*x1-0.796
I.12.5,3,0.999809,0.0013498,361.2,12.936*tanh(-0.000*tanh(0.0010)+1.471*tanh(-0.361*x0-0.386*x1+1.781*x2+2.350)+0.211*tanh(-0.125*x0-0.233*x1+0.886*x2+0.0
I.13.12,2,0.999217,2.39831,327.2,146.425*tanh(0.240*tanh(-0.002*tanh(-0.004*x0+0.002*x1+0.002)-0.247*tanh(-1.714*x0+0.469*x1-0.317)+0.210*tanh(1.154*x0-0
I.14.3,4,0.999092,0.000573581,364.7,5.144*tanh(-0.273*tanh(0.143*tanh(-0.009*x0-0.088*x1-0.031*x2-0.080*x3+0.652)+0.102*tanh(0.419*x0+0.259*x1-0.116*x2-0.20
I.15.3,2,0.999322,8.92815e-05,170.3,1.124*tanh(-1.557*tanh(0.367*x0+2.197*x1-2.734)-0.001*tanh(0.001*x0-0.000*x1+0.001)+1.527*tanh(2.201*x0+0.327*x1-2.692)+
I.15.10,2,0.985608,0.000365327,1155.2,0.575*tanh(0.402*tanh(0.215*tanh(0.451*x0+0.443*x1-0.281)+0.195*tanh(0.415*x0+0.412*x1-0.261)-0.091*tanh(-0.244*x0-0.266
I.18.4,3,0.999797,0.00178591,470.2,11.378*tanh(0.374*tanh(-0.185*tanh(-0.429*x0-0.514*x1+0.757*x2+3.315)-0.208*tanh(-0.128*x0-0.280*x1-0.124*x2+0.388)-0.84
