eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999960,0.0010144,506.4,20.316*tanh(-0.081*tanh(0.238*x0+0.155*x1+0.025)-0.166*(tanh(0.001*tanh(-0.003*x0+0.000*x1+0.007)+0.001*tanh(0.001*x0-0.
I.6.2b,2,0.999901,3.22354e-05,463.0,2.829*tanh(-0.483*tanh(-0.791*x0+0.112*x1+0.094)-0.174*tanh(-0.231*x0+0.299*x1+0.084)+0.139*tanh(0.201*x0-0.277*x1-0.025
I.7.9,2,0.999949,8.89404e-06,231.8,1.731*(tanh(0.264*tanh(0.107*x0-0.334*x1+0.048)-0.327*tanh(-0.775*x0+0.042*x1+0.097)-0.279*tanh(-0.137*x0+0.826*x1+0.198
I.8.4,2,0.999880,0.0213119,225.9,39.311*tanh(0.661*tanh(-0.124*x0+0.530*x1+0.075)+0.122*tanh(1.590*x0-0.120*x1-0.544)-2.373*tanh(-0.153*x0-0.335*x1+2.868
I.9.5,3,0.999387,0.00280638,253.6,9.419*tanh(-0.000*tanh(-0.014*0+0.000*x1-0.000*x2-0.012)-1.249*tanh(-0.403*x0-0.435*x1+3.293*x2+0.539)-0.623*tanh(-0.112
I.10.7,2,0.999524,0.000910754,252.0,8.086*tanh(-0.636*tanh(0.082*x0+3.779*x1-2.983)-2.792*tanh(-0.042*x0-1.766*x1+1.921)-0.284*tanh(-0.779*x0-0.289*x1+0.910
I.12.5,3,0.999916,0.000703393,1563.7,12.226*tanh(0.580*tanh(-0.241*x0-0.209*x1+0.533*x2+1.559)+0.312*tanh(-0.039*x0-0.023*x1+1.069*x2-0.401)-0.476*tanh(-0.00
I.13.12,2,0.999395,1.9254,467.7,150.873*tanh(0.000*tanh(-0.005*tanh(0.087*x0-0.102*x1-0.003)-0.002*tanh(0.006*x0-0.005*x1-0.011)-0.004*tanh(0.062*x0-0.0
I.14.3,4,0.999628,0.000202105,1213.5,3.120*tanh(0.298*tanh(-0.245*tanh(0.321*x0-0.076*x1-0.157*x2+0.377*x3+0.051)+0.320*tanh(0.071*x0-0.365*x1-0.377*x2+0.198
I.15.3,2,0.999322,8.92815e-05,572.3,1.124*tanh(-1.557*tanh(0.367*x0+2.197*x1-2.734)-0.001*tanh(0.001*x0-0.000*x1+0.001)+1.527*tanh(2.201*x0+0.327*x1-2.692)+
I.15.10,2,0.999836,4.15096e-06,1149.8,1.294*tanh(-0.486*tanh(-0.538*x0-0.543*x1-0.261*(x1*x0)+0.083)-0.213*tanh(-0.202*x0-0.198*x1+0.142*(x1*x0)+0.065)+0.336*
I.18.4,3,0.999839,0.00143647,422.6,11.552*tanh(0.286*tanh(-0.467*tanh(0.022*x0-0.500*x1+0.034*x2+0.121)-0.321*tanh(-0.351*x0-0.286*x1+0.287*x2+3.030)-0.022
I.18.14,3,0.999365,0.172757,202.7,60.771*tanh(0.217*tanh(2.089*x0-0.183*x1-0.235*x2+0.781)+2.101*tanh(0.134*tanh(0.232*x0+0.117*x1+0.303*x2-0.364)-0.048*t
I.24.6,2,0.999587,0.000510289,196.3,5.386*tanh(0.553*tanh(0.283*tanh(0.009*x0-1.328*x1+1.051)+0.368*tanh(0.109*x0+2.108*x1-1.548)+0.229*tanh(0.032*x0-0.866*
I.25.9,2,0.999937,8.82278e-06,444.9,1.683*tanh(0.001*tanh(-0.015*0+0.000*tanh(0.045*x0+0.181*x1-0.733)-0.006*tanh(0.128*x0-0.863*x1+0.185)+0.001*tanh(0.025*
I.29.16,3,0.969944,0.0508215,445.4,9.774*(tanh(-1.372*tanh(-0.444*x0+1.368*x1+0.663*x2-1.212)-1.113*tanh(-0.537*x0+0.378*x1-0.569*x2+2.048)+0.817*tanh(0.42
I.32.8,3,0.947549,0.165818,567.5,58.352*tanh(0.667*tanh(0.114*x0+1.083*x1-0.605*x2-0.312)-1.781*tanh(-0.924*x0-0.805*x1+3.793*x2+2.437)-0.802*tanh(-0.456
I.34.6,1,0.999150,4.47995e-05,612.0,0.913*(((tanh(-0.302*x0+0.253)+tanh(tanh(-0.200*x0+0.080)))+tanh(tanh(-0.200*x0+0.080)))+tanh(tanh(-0.200*x0+0.080)))+0.
I.43.27,3,0.998638,6.83695e-05,360.4,2.161*tanh(0.613*tanh(0.170*x0-1.339*x1-0.187*x2+0.673)-0.369*tanh(-0.166*x0+0.207*x1+1.023*x2-0.245)+0.219*tanh(-0.004*
I.47.23,2,0.999934,3.98579e-06,457.8,0.971*(tanh(-0.346*tanh(-0.175*x0+0.440*x1-0.102)+0.214*tanh(0.229*x0-0.231*x1-0.005)-0.253*tanh(-0.526*x0-0.094*x1+0.05
II.11.27,3,,,2702.7,
II.34.29a,2,0.999813,0.0307053,344.7,42.807*tanh(0.252*tanh(0.445*x0-0.414*x1+1.060)-0.000*tanh(0.019*x0-0.012*x1-0.021)-2.731*tanh(-0.124*x0-0.258*x1+2.368)
III.4.33,2,0.999986,5.52412e-05,951.3,7.052*tanh(0.312*tanh(0.112*tanh(-0.413*tanh(-0.333*x0+0.555*x1+0.720)-0.184*tanh(-0.500*x0+0.141*x1+0.435)-0.150*tanh(0
