eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999948,0.00135579,10.0,19.169*tanh(-0.010*tanh(0.475*x0+0.329*x1-1.835)+0.578*tanh(0.407*x0-0.125*x1+0.533)-0.000*tanh(-0.016*x0+0.001*x1+0.052
I.6.2b,2,0.999906,2.65843e-05,7.8,2.971*tanh(-0.185*tanh(-0.194*x0+0.232*x1+0.104)-0.813*tanh(-0.353*x0+1.835*x1+0.241)-0.163*tanh(-0.103*x0+0.576*x1+0.05
I.7.9,2,0.999909,2.00459e-05,8.0,1.800*tanh(-0.584*tanh(-0.252*x0+1.356*x1+0.150)-0.170*tanh(-0.143*x0+0.329*x1+0.006)+0.460*tanh(0.707*x0-0.054*x1+0.053
I.8.4,2,0.999796,0.0405561,10.0,40.372*tanh(0.383*tanh(0.595*x0-0.206*x1+0.524)+0.201*tanh(-0.474*x0+1.043*x1+0.684)+0.110*tanh(0.134*x0+0.432*x1+0.817)
I.9.5,3,0.999745,0.00136086,12.8,12.581*tanh(0.729*tanh(0.155*x0+0.122*x1-0.765*x2-0.033)-0.351*tanh(0.087*x0+0.084*x1+0.811*x2-0.679)+0.003*tanh(-0.000*
I.10.7,2,0.997968,0.00554881,8.3,7.863*tanh(0.425*tanh(2.041*x0+1.058*x1-2.192)+2.033*tanh(0.046*x0+2.304*x1-2.815)-0.004*tanh(0.003*x0-0.001*x1+0.003)+0
I.12.5,3,1.000000,3.52011e-06,31.3,12.959*(tanh(-0.386*tanh(-0.112*x0+0.329*x1-0.070*x2-0.219)+0.717*tanh(-0.028*x0-0.059*x1+0.858*x2+0.474)+0.382*tanh(0.2
I.13.12,2,0.998206,5.63284,10.1,140.665*tanh(0.141*tanh(0.595*x0-0.414*x1-0.171)+0.445*tanh(-0.456*x0+0.941*x1+1.636)+0.435*tanh(1.461*x0+1.477*x1+1.221
I.14.3,4,0.999776,0.000138938,218.3,2.218*(tanh(-0.327*tanh(0.090*tanh(0.201*tanh(0.029*x0-0.260*x1+0.003*x2-0.262*x3+0.562)-0.119*tanh(0.379*x0-0.193*x1-0.
I.15.3,2,0.997118,0.000435907,9.0,1.044*tanh(-0.292*tanh(0.870*x0+0.717*x1-0.406)-1.682*tanh(-0.368*x0+2.025*x1-2.121)+1.019*tanh(0.986*x0-0.447*x1-0.864)
I.15.10,2,0.999823,5.09606e-06,19.9,1.285*tanh(-0.405*tanh(-0.315*x0-0.311*x1+0.142*(x0*x1)+0.051)-0.233*tanh(-0.122*x0-0.122*x1+0.182*(x0*x1)+0.068)+0.711*
I.18.4,3,1.000000,3.71261e-06,39.0,11.431*(tanh(0.694*tanh(0.063*x0+0.074*x1-0.270*x2-0.976)-0.336*tanh(0.326*x0+0.331*x1+0.171*x2+0.207)+0.161*tanh(-0.143
I.18.14,3,0.977085,5.84605,13.3,56.875*tanh(0.000*tanh(-0.000*x0-0.000*x1+0.001*x2-0.001)-0.000*tanh(0.000*x0+0.000*x1-0.001*x2+0.000)+0.000*tanh(-0.000
I.24.6,2,0.999739,0.000300173,352.4,4.568*tanh(-0.804*tanh(-0.134*x0-2.338*x1+1.826)+0.012*tanh(-0.045*(x1*x1)+0.011)+1.006*tanh(0.159*x0-0.985*x1-0.631)+0.
I.25.9,2,0.999908,1.5055e-05,7.7,1.956*tanh(0.701*tanh(0.105*x0+0.064*x1-0.659)+0.323*tanh(-0.126*x0+0.856*x1-0.074)-0.283*tanh(0.183*x0+0.229*x1+0.008)-
I.29.16,3,0.643977,0.917743,8.0,1.315*((tanh(0.249*x0-3.924*x1-3.529*x2+12.855)+tanh(0.445*sin(tanh(3.006*(x1*x2)-2.208))-0.101))+(0.066*((x0*x1)/x2)-0.
I.32.8,3,1.000000,4.3097e-05,18.5,41.944*(tanh(-0.078*x0-0.230*x1-1.485*x2-2.195)+(0.024*(((x0*x1)*(x0*x1))/((x2*x2)*x2))-0.230))+51.569
I.34.6,1,0.998948,5.08495e-05,2.7,1.183*(tanh(-0.517*x0+0.327)+tanh(-0.183*x0+0.031))+0.568
I.43.27,3,0.998967,3.30513e-05,17.8,2.028*tanh(-0.391*tanh(-0.034*x0+0.345*x1+0.094*x2-0.460)+0.382*tanh(-0.015*x0-0.259*x1-0.125*x2+0.457)-0.763*tanh(-0.09
I.47.23,2,0.999889,6.98579e-06,12.5,1.352*tanh(-0.562*tanh(-0.219*x0+1.170*x1+0.150)-0.161*tanh(-0.094*x0+0.287*x1-0.011)+0.422*tanh(0.622*x0-0.011*x1+0.016
II.11.27,3,0.998342,0.0281863,15.9,16.818*tanh(1.399*tanh(0.151*x0+0.174*x1-0.672*x2-2.039)-0.003*tanh(0.013*x0+0.009*x1+0.018*x2-0.090)+0.250*tanh(-0.290*
II.34.29a,2,0.999715,0.0386068,9.9,37.024*tanh(0.375*tanh(0.627*x0-0.186*x1+0.388)+0.231*tanh(-0.443*x0+1.037*x1+0.699)+0.182*tanh(0.349*x0+0.803*x1-0.308)
III.4.33,2,0.999905,0.000292193,8.6,8.296*tanh(0.182*tanh(0.294*x0+0.027*x1-0.090)-0.833*tanh(-0.560*x0+1.524*x1+1.604)-0.099*tanh(0.074*x0+0.900*x1-0.362)+
III.10.19,2,0.999738,0.000415314,69.1,7.264*tanh(-0.413*tanh(0.145*tanh(-0.005*tanh(0.005*x0+0.007*x1+0.006)-0.213*tanh(-0.104*x0+0.210*x1-0.539)-0.006*tanh(0
I.48.20,3,0.999926,0.000519603,252.1,11.987*tanh(-0.367*tanh(0.533*tanh(-0.284*x0+0.119*x1-0.195*x2-0.026)+0.006*tanh(0.0050)+0.408*tanh(-0.466*x0-0.390*x1+0
