task,n_ok,mean,std,min,max
d1,2,0.00300469,0.00014412,0.00286057,0.00314881
d2,2,0.3653952,0.2747458,0.0906494,0.640141
d3,2,0.1497545,0.0310325,0.118722,0.180787
d4,2,0.0001452105,3.70205e-05,0.00010819,0.000182231
d5,2,6.83264e-06,2.75368e-06,4.07896e-06,9.58632e-06
d6,2,8.00286e-08,0,8.00286e-08,8.00286e-08
d7,2,1.20147e-05,8.965e-07,1.11182e-05,1.29112e-05
d8,2,0.0003968085,0.0002708765,0.000125932,0.000667685
d9,2,0.04132535,0.00227665,0.0390487,0.043602
t21,2,0.001861765,0.000313595,0.00154817,0.00217536
t22,2,0.00967457,0.00100843,0.00866614,0.010683
t23,2,0.002890498,0.002316852,0.000573646,0.00520735
t24,2,0.00619744,0.00127054,0.0049269,0.00746798
t31,2,0.0062007295,0.0052473705,0.000953359,0.0114481
t32,2,0.0007700745,0.0001148225,0.000655252,0.000884897
t33,2,0.001785995,0.000325635,0.00146036,0.00211163
t34,2,0.0009628945,0.0002261455,0.000736749,0.00118904
