task,n_ok,mean,std,min,max
d1,2,0.00414813,0.00013391,0.00401422,0.00428204
d2,2,0.3653952,0.2747458,0.0906494,0.640141
d3,2,0.138894,0.020172,0.118722,0.159066
d4,2,0.0003350695,0.0001528385,0.000182231,0.000487908
d5,2,6.83264e-06,2.75368e-06,4.07896e-06,9.58632e-06
d7,2,1.20147e-05,8.965e-07,1.11182e-05,1.29112e-05
t21,2,0.03436109,0.03259831,0.00176278,0.0669594
t23,2,0.002890498,0.002316852,0.000573646,0.00520735
t24,2,0.0029359475,0.0019909525,0.000944995,0.0049269
t31,2,0.0062007295,0.0052473705,0.000953359,0.0114481
t32,2,0.000660323,0.000148793,0.00051153,0.000809116
t34,2,0.0009628945,0.0002261455,0.000736749,0.00118904
