task,min_r2,r2_per_out,commits,wall_s
d1_step,0.992956,o1=0.9930,NEURON_TANH_INJECTIONx2,2.8
d2_mod3,0.758130,o1=0.7581,"MULTI_LAYER_STACKx1,SIN_INJECTIONx2",9.0
d3_two_sines,0.553664,o1=0.5537,MULTI_LAYER_STACKx2,3.7
d4_irrelevant12,0.999244,o1=0.9992,MULTI_LAYER_STACKx2,24.6
d5_extrap_cliff,0.999863,o1=0.9999,COMPOUND_MULTIPLY_NEURONx2,1.2
d6_seq_parity,1.000000,o1=1.0000,"RECURRENT_XORx1,CONTEXT_WIREx3",3.6
d7_multiout,0.999396,o1=1.0000 o2=0.9994 o3=1.0000,COMPOUND_TANH_SERIESx6,5.0
d8_compose_absprod,0.999576,o1=0.9996,"COMPOUND_MULTIPLY_ABSx3,MULTIPLY_INJECTIONx3,NEURON_TANH_INJECTIONx1,MULTI_LAYER_STACKx1",10.2
d9_noise,0.806034,o1=0.8060,"COMPOUND_MULTIPLY_ABSx10,MULTIPLY_INJECTIONx3,CONTEXT_WIREx2,MULTI_LAYER_STACKx1",30.7
t21_three_region,0.993627,o1=0.9936,"CONTEXT_WIREx1,MULTI_LAYER_STACKx2",8.0
t22_windowed_sine,0.964378,o1=0.9644,COMPOUND_TANH_SERIESx2,1.8
t23_quadratic,0.997837,o1=0.9978,MULTI_LAYER_STACKx2,4.3
t24_quadrant_xor,0.995615,o1=0.9956,MULTI_LAYER_STACKx2,4.9
t31_three_way_product,0.994887,o1=0.9949,"MULTI_LAYER_STACKx1,COMPOUND_MULTIPLY3_NEURONx1",7.0
t32_sine_of_product,0.998731,o1=0.9987,"COMPOUND_SIN_PRODUCTx1,COMPOUND_MULTIPLY_NEURONx1",2.2
t33_absolute_value,0.998408,o1=0.9984,COMPOUND_MULTIPLY_NEURONx2,1.4
t34_xor3_parity,0.997394,o1=0.9974,"MULTI_LAYER_STACKx2,SIN_INJECTIONx1",4.8
